
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
  127  2.095980756880845e-02  1.929010042269958e-02  3.245629321020895e-02  61   10  210
  128  8.027306128889369e-03  8.027306128889369e-03  3.245948962868029e-02  61   10  210
  129  8.027306128889369e-03  1.469934712590226e-02  3.246257061394716e-02  61    5  105
  130  1.469934712590226e-02  2.322115760764500e-02  3.246789262777148e-02  61    5  105
  131  3.057838277552309e-03  3.057838277552309e-03  3.246895420013852e-02  61   11  231
  132  3.057838277552309e-03  1.060931752583250e-02  3.247000146226386e-02  61    5   68
  133  1.060931752583250e-02  1.931075525042434e-02  3.247351424839456e-02  61    5  105
  134  1.931075525042434e-02  3.070935656117317e-02  3.247945154213552e-02  61    5  105
  135  7.677339140293292e-03  7.677339140293292e-03  3.248166620342697e-02  61   10  210
  136  7.677339140293292e-03  2.514258786850873e-02  3.248379858371268e-02  61    5   72
  137  6.285646967127182e-03  6.285646967127182e-03  3.248548615120306e-02  61   10  185
  138  6.285646967127182e-03  2.913772485258610e-02  3.248712177916500e-02  61    5   69
  139  7.284431213146526e-03  7.284431213146526e-03  3.248895606922902e-02  61    7  114
  140  7.284431213146526e-03  2.704541295956079e-02  3.249072544167074e-02  61    5   78
  141  1.882801642311600e-02  1.882801642311600e-02  3.249486578122750e-02  61   10  210
  142  1.882801642311600e-02  3.300303367700549e-02  3.249879729091679e-02  61    5  105
  143  8.250758419251372e-03  8.250758419251372e-03  3.250040645120831e-02  61    6  126
  144  8.250758419251372e-03  2.258791322007067e-02  3.250195301676050e-02  61    5  105
  145  7.328623919761582e-03  7.328623919761582e-03  3.250327454230194e-02  61   10  196
  146  7.328623919761582e-03  2.790963486903390e-02  3.250454884815904e-02  61    5   92
  147  6.977408717258474e-03  6.977408717258474e-03  3.250572068963843e-02  61   10  170
  148  6.977408717258474e-03  1.395481743451695e-02  3.250685292103357e-02  61    5   82
  149  1.395481743451695e-02  1.395481743451695e-02  3.250897131687308e-02  61    5  105
 ----------------------------------------------------------------------------------------
 Final solver statistics:
   Total number of time steps = 149
   Total nonlinear iterations = 1058
   Total linear iterations    = 18284

