
   Begin Kepler Problem

Problem Arguments:
  stepper:              0
  step mode:            0
  use compensated sums: 0
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 15.2000, H(p,q)-H0 = 0.0000014901161194, L(p,q)-L0 = 0.0000018477439880
t = 15.3000, H(p,q)-H0 = 0.0000014901161194, L(p,q)-L0 = 0.0000019073486328
t = 15.4000, H(p,q)-H0 = 0.0000014305114746, L(p,q)-L0 = 0.0000017881393433
t = 15.5000, H(p,q)-H0 = 0.0000014603137970, L(p,q)-L0 = 0.0000018477439880
t = 15.6000, H(p,q)-H0 = 0.0000013709068298, L(p,q)-L0 = 0.0000017881393433
t = 15.7000, H(p,q)-H0 = 0.0000014305114746, L(p,q)-L0 = 0.0000016093254089
t = 15.8000, H(p,q)-H0 = 0.0000013709068298, L(p,q)-L0 = 0.0000016093254089
t = 15.9000, H(p,q)-H0 = 0.0000014305114746, L(p,q)-L0 = 0.0000017285346985
t = 16.0000, H(p,q)-H0 = 0.0000014305114746, L(p,q)-L0 = 0.0000017881393433
t = 16.1000, H(p,q)-H0 = 0.0000014305114746, L(p,q)-L0 = 0.0000016689300537
t = 16.2000, H(p,q)-H0 = 0.0000013709068298, L(p,q)-L0 = 0.0000016093254089
t = 16.3000, H(p,q)-H0 = 0.0000014305114746, L(p,q)-L0 = 0.0000015497207642
t = 16.4000, H(p,q)-H0 = 0.0000014305114746, L(p,q)-L0 = 0.0000016093254089
t = 16.5000, H(p,q)-H0 = 0.0000013709068298, L(p,q)-L0 = 0.0000016093254089
t = 16.6000, H(p,q)-H0 = 0.0000014901161194, L(p,q)-L0 = 0.0000016689300537
t = 16.7000, H(p,q)-H0 = 0.0000012814998627, L(p,q)-L0 = 0.0000014901161194
t = 16.8000, H(p,q)-H0 = 0.0000012516975403, L(p,q)-L0 = 0.0000014305114746
t = 16.9000, H(p,q)-H0 = 0.0000013411045074, L(p,q)-L0 = 0.0000015497207642
t = 17.0000, H(p,q)-H0 = 0.0000015497207642, L(p,q)-L0 = 0.0000017285346985
t = 17.1000, H(p,q)-H0 = 0.0000016093254089, L(p,q)-L0 = 0.0000017881393433
t = 17.2000, H(p,q)-H0 = 0.0000014007091522, L(p,q)-L0 = 0.0000016689300537
t = 17.3000, H(p,q)-H0 = 0.0000012814998627, L(p,q)-L0 = 0.0000014305114746
t = 17.4000, H(p,q)-H0 = 0.0000013709068298, L(p,q)-L0 = 0.0000016093254089
t = 17.5000, H(p,q)-H0 = 0.0000012516975403, L(p,q)-L0 = 0.0000014305114746
t = 17.6000, H(p,q)-H0 = 0.0000013113021851, L(p,q)-L0 = 0.0000014305114746
t = 17.7000, H(p,q)-H0 = 0.0000012516975403, L(p,q)-L0 = 0.0000014305114746
t = 17.8000, H(p,q)-H0 = 0.0000011324882507, L(p,q)-L0 = 0.0000012516975403
t = 17.9000, H(p,q)-H0 = 0.0000010728836060, L(p,q)-L0 = 0.0000012516975403
t = 18.0000, H(p,q)-H0 = 0.0000008940696716, L(p,q)-L0 = 0.0000010728836060
t = 18.1000, H(p,q)-H0 = 0.0000010728836060, L(p,q)-L0 = 0.0000010728836060
t = 18.2000, H(p,q)-H0 = 0.0000007748603821, L(p,q)-L0 = 0.0000009536743164
t = 18.3000, H(p,q)-H0 = 0.0000013113021851, L(p,q)-L0 = 0.0000013709068298
t = 18.4000, H(p,q)-H0 = 0.0000013113021851, L(p,q)-L0 = 0.0000013113021851
t = 18.5000, H(p,q)-H0 = 0.0000016689300537, L(p,q)-L0 = 0.0000014305114746
t = 18.6000, H(p,q)-H0 = 0.0000013113021851, L(p,q)-L0 = 0.0000013113021851
t = 18.7000, H(p,q)-H0 = 0.0000004768371582, L(p,q)-L0 = 0.0000011324882507
t = 18.8000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000010132789612
t = 18.9000, H(p,q)-H0 = 0.0000003576278687, L(p,q)-L0 = 0.0000011324882507
t = 19.0000, H(p,q)-H0 = -0.0000002384185791, L(p,q)-L0 = 0.0000010728836060
t = 19.1000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000010728836060
t = 19.2000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000010132789612
t = 19.3000, H(p,q)-H0 = -0.0000003576278687, L(p,q)-L0 = 0.0000010132789612
t = 19.4000, H(p,q)-H0 = -0.0000002384185791, L(p,q)-L0 = 0.0000009536743164
t = 19.5000, H(p,q)-H0 = -0.0000003576278687, L(p,q)-L0 = 0.0000009536743164
t = 19.6000, H(p,q)-H0 = -0.0000005364418030, L(p,q)-L0 = 0.0000008344650269
t = 19.7000, H(p,q)-H0 = -0.0000007748603821, L(p,q)-L0 = 0.0000007152557373
t = 19.8000, H(p,q)-H0 = -0.0000008344650269, L(p,q)-L0 = 0.0000007152557373
t = 19.9000, H(p,q)-H0 = -0.0000008940696716, L(p,q)-L0 = 0.0000006556510925
t = 20.0000, H(p,q)-H0 = -0.0000007152557373, L(p,q)-L0 = 0.0000006556510925
t = 20.1000, H(p,q)-H0 = -0.0000007152557373, L(p,q)-L0 = 0.0000007152557373
t = 20.2000, H(p,q)-H0 = -0.0000007748603821, L(p,q)-L0 = 0.0000007152557373
t = 20.3000, H(p,q)-H0 = -0.0000007152557373, L(p,q)-L0 = 0.0000008344650269
t = 20.4000, H(p,q)-H0 = -0.0000005960464478, L(p,q)-L0 = 0.0000008344650269
t = 20.5000, H(p,q)-H0 = -0.0000007152557373, L(p,q)-L0 = 0.0000007152557373
t = 20.6000, H(p,q)-H0 = -0.0000005364418030, L(p,q)-L0 = 0.0000009536743164
t = 20.7000, H(p,q)-H0 = -0.0000005960464478, L(p,q)-L0 = 0.0000007748603821
t = 20.8000, H(p,q)-H0 = -0.0000004768371582, L(p,q)-L0 = 0.0000009536743164
t = 20.9000, H(p,q)-H0 = -0.0000005364418030, L(p,q)-L0 = 0.0000008940696716
t = 21.0000, H(p,q)-H0 = -0.0000005364418030, L(p,q)-L0 = 0.0000008344650269
t = 21.1000, H(p,q)-H0 = -0.0000003576278687, L(p,q)-L0 = 0.0000011324882507
t = 21.2000, H(p,q)-H0 = -0.0000004172325134, L(p,q)-L0 = 0.0000010132789612
t = 21.3000, H(p,q)-H0 = -0.0000002980232239, L(p,q)-L0 = 0.0000012516975403
t = 21.4000, H(p,q)-H0 = -0.0000002384185791, L(p,q)-L0 = 0.0000013113021851
t = 21.5000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000016093254089
t = 21.6000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000015497207642
t = 21.7000, H(p,q)-H0 = -0.0000001788139343, L(p,q)-L0 = 0.0000013709068298
t = 21.8000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000013709068298
t = 21.9000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000013113021851
t = 22.0000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000013113021851
t = 22.1000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000012516975403
t = 22.2000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000014901161194
t = 22.3000, H(p,q)-H0 = 0.0000001788139343, L(p,q)-L0 = 0.0000017881393433
t = 22.4000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000017285346985
t = 22.5000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000018477439880
t = 22.6000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000017881393433
t = 22.7001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000017881393433
t = 22.8001, H(p,q)-H0 = 0.0000001788139343, L(p,q)-L0 = 0.0000018477439880
t = 22.9001, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000019073486328
t = 23.0001, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = 0.0000020265579224
t = 23.1001, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = 0.0000019073486328
t = 23.2001, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = 0.0000020265579224
t = 23.3001, H(p,q)-H0 = 0.0000004172325134, L(p,q)-L0 = 0.0000020265579224
t = 23.4001, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = 0.0000018477439880
t = 23.5001, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000014305114746
t = 23.6001, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000016689300537
t = 23.7001, H(p,q)-H0 = 0.0000004470348358, L(p,q)-L0 = 0.0000019073486328
t = 23.8001, H(p,q)-H0 = 0.0000005066394806, L(p,q)-L0 = 0.0000017881393433
t = 23.9001, H(p,q)-H0 = 0.0000005364418030, L(p,q)-L0 = 0.0000018477439880
t = 24.0001, H(p,q)-H0 = 0.0000007450580597, L(p,q)-L0 = 0.0000020265579224
