
   Begin Kepler Problem

Problem Arguments:
  stepper:              1
  step mode:            1
  use compensated sums: 0
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 25.6001, H(p,q)-H0 = -0.0035161972045898, L(p,q)-L0 = -0.0006678104400635
t = 25.7001, H(p,q)-H0 = -0.0035187005996704, L(p,q)-L0 = -0.0006679892539978
t = 25.8001, H(p,q)-H0 = -0.0035200119018555, L(p,q)-L0 = -0.0006680488586426
t = 25.9001, H(p,q)-H0 = -0.0035208463668823, L(p,q)-L0 = -0.0006681084632874
t = 26.0001, H(p,q)-H0 = -0.0035210847854614, L(p,q)-L0 = -0.0006681084632874
t = 26.1001, H(p,q)-H0 = -0.0035214424133301, L(p,q)-L0 = -0.0006681084632874
t = 26.2001, H(p,q)-H0 = -0.0035215616226196, L(p,q)-L0 = -0.0006681680679321
t = 26.3001, H(p,q)-H0 = -0.0035216808319092, L(p,q)-L0 = -0.0006681680679321
t = 26.4001, H(p,q)-H0 = -0.0035217404365540, L(p,q)-L0 = -0.0006681680679321
t = 26.5001, H(p,q)-H0 = -0.0035218000411987, L(p,q)-L0 = -0.0006682276725769
t = 26.6001, H(p,q)-H0 = -0.0035218000411987, L(p,q)-L0 = -0.0006682872772217
t = 26.7001, H(p,q)-H0 = -0.0035218000411987, L(p,q)-L0 = -0.0006682276725769
t = 26.8001, H(p,q)-H0 = -0.0035218596458435, L(p,q)-L0 = -0.0006681680679321
t = 26.9001, H(p,q)-H0 = -0.0035218596458435, L(p,q)-L0 = -0.0006682276725769
t = 27.0001, H(p,q)-H0 = -0.0035218596458435, L(p,q)-L0 = -0.0006682872772217
t = 27.1001, H(p,q)-H0 = -0.0035218596458435, L(p,q)-L0 = -0.0006682276725769
